ImgFileName,FileSize(KB),OriginalType_Cols,80Cols_Type(Secs),150Cols_Type(Secs),250Cols_Type(Secs),Original_Type(Secs),Writing_Doc(Secs),Writing_WebPage(Secs)
ArG.jpeg,8.05,230,0.06249427795410156,0.20316863059997559,,0.4687764644622803,0.015546560287475586,0.0
AwA.jpg,80.13,649,0.06256985664367676,0.2187206745147705,0.5624358654022217,3.7339136600494385,0.031244754791259766,0.0
ChaD.jpeg,9.06,378,0.04687070846557617,0.15629982948303223,0.4062180519104004,0.921698808670044,0.015622854232788086,0.0
DoGe.jpeg,4.83,242,0.062494754791259766,0.17193222045898438,,0.4530675411224365,0.0,0.0
GuN.jpeg,8.06,245,0.04693746566772461,0.18747901916503906,,0.468700647354126,0.0,0.0
hAhA.jpeg,17.84,399,0.06250452995300293,0.17184853553771973,0.48432111740112305,1.2186994552612305,0.015543937683105469,0.0
Hmm.jpeg,8.69,321,0.06249380111694336,0.17185616493225098,0.5000147819519043,0.8280553817749023,0.015537261962890625,0.0
RiSe.jpeg,53.46,509,0.07818293571472168,0.24997615814208984,0.6405630111694336,2.711371660232544,0.01555490493774414,0.0
Uh.jpeg,15.73,357,0.06256103515625,0.18748140335083008,0.53159499168396,1.0467634201049805,0.015556097030639648,0.0
UhHuH.jpeg,21.92,399,0.06257200241088867,0.23435235023498535,0.6250057220458984,1.6095788478851318,0.015558481216430664,0.0
Uuuh.jpeg,11.7,319,0.07818102836608887,0.23449373245239258,0.6570088863372803,1.04697585105896,0.015554189682006836,0.0
wHaT.jpeg,9.57,280,0.06250524520874023,0.20316028594970703,0.7028608322143555,0.6724879741668701,0.015545845031738281,0.0
WiN.jpeg,5.57,219,0.046956539154052734,0.17177176475524902,,0.3594093322753906,0.0,0.0
WoAh.jpg,115.77,569,0.0630486011505127,0.2187328338623047,0.6254115104675293,3.344557285308838,0.03131461143493652,0.0
WooH.jpeg,15.08,286,0.09373712539672852,0.32809019088745117,0.9217300415039062,1.1874244213104248,0.0,0.0
WoW.jpeg,9.75,293,0.04693341255187988,0.1874830722808838,0.5311939716339111,0.6718704700469971,0.015555620193481445,0.0
YeAh.jpeg,14.31,330,0.062496185302734375,0.1875150203704834,0.5156095027923584,0.890531063079834,0.015557050704956055,0.0
YeeAAs.jpeg,5.03,202,0.0625603199005127,0.20303559303283691,,0.359405517578125,0.0,0.0
